순위,곡명,아티스트,앨범명,장르,재생시간,작사가,작곡가,편곡자,좋아요,전체 청취자수,전체 재생수,상세URL,곡ID
34,내 이름 맑음,QWER,2nd Mini Album 'Algorithm's Blossom',가요 / 락,03:08,소연 (SOYEON),"소연 (SOYEON),Pop Time,Daily,Likey","Pop Time,Daily,Likey,소연 (SOYEON)",21922,1189633,27609505,https://www.genie.co.kr/detail/songInfo?xgnm=107855545,107855545
35,Die With A Smile,Lady Gaga & Bruno Mars,Die With A Smile,POP / 팝,04:12,,,,22239,937994,14434372,https://www.genie.co.kr/detail/songInfo?xgnm=107520166,107520166
36,운명 (2025),먼데이 키즈 & 이이경,먼키의 발자국 Vol.1,가요 / 전체,04:19,BRAVE (브레이브),한상원,"이도형 (AUG),편준원 (AUG)",3194,275063,1908815,https://www.genie.co.kr/detail/songInfo?xgnm=111134057,111134057
37,MY LOVE (2025),이예은 & 아샤트리 & 전건호,MY LOVE (2025),가요 / 발라드,04:02,이도연,이상준,"임광균,한상원",9125,659047,10220473,https://www.genie.co.kr/detail/songInfo?xgnm=109179632,109179632
38,Never Ending Story,아이유 (IU),꽃갈피 셋,가요 / 발라드,03:44,김태원,김태원,서동환,10908,766392,7519787,https://www.genie.co.kr/detail/songInfo?xgnm=110308610,110308610
39,여름이었다,H1-KEY (하이키),H1-KEY 4th Mini Album ［Lovestruck］,가요 / 댄스,03:12,시우,시우,"시우,Jeon Hong Jun",4770,353622,2764900,https://www.genie.co.kr/detail/songInfo?xgnm=110586309,110586309
40,Supernova,aespa,Armageddon - The 1st Album,가요 / 댄스,02:59,KENZIE,"KENZIE,Paris Alexa,Dem Jointz",Dem Jointz,29723,1551954,51389641,https://www.genie.co.kr/detail/songInfo?xgnm=106536223,106536223
41,예뻤어,DAY6 (데이식스),Every DAY6 February,가요 / 락,04:43,Young K (DAY6),"홍지상,이우민 'Collapsedone',원필 (DAY6),Young K (DAY6)","홍지상,이우민 'Collapsedone'",81781,2452632,85341153,https://www.genie.co.kr/detail/songInfo?xgnm=86931930,86931930
42,toxic till the end,로제 (ROSÉ),rosie,가요 / 락,02:37,"로제 (ROSÉ),Evan Blair,Michael Pollack,Emily Warren Schwartz","로제 (ROSÉ),Evan Blair,Michael Pollack,Emily Warren Schwartz",Evan Blair,19534,1001037,19711112,https://www.genie.co.kr/detail/songInfo?xgnm=108575614,108575614
43,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,가요 / 트로트,04:03,김이나,조영수,"조영수,이유진",66613,3050528,368784768,https://www.genie.co.kr/detail/songInfo?xgnm=90077755,90077755
44,고민중독,QWER,1st Mini Album 'MANITO',가요 / 락,02:56,"이동혁,GESTURE,김혜정,Elum,마젠타","이동혁,홍훈기,Elum,GESTURE,한아영","이동혁,한아영",32175,1488253,46174119,https://www.genie.co.kr/detail/songInfo?xgnm=105938136,105938136
45,오늘만 I LOVE YOU,BOYNEXTDOOR,오늘만 I LOVE YOU,가요 / 댄스,02:42,"Kako,운학","Pop Time,Kako,Daily,Ryo,Likey,지코 (ZICO),태산,운학","Pop Time,Daily,Likey",23882,819713,14615168,https://www.genie.co.kr/detail/songInfo?xgnm=108805146,108805146
46,우리들의 블루스,임영웅,IM HERO,가요 / 발라드,03:27,지훈,"이승주,최인환","이승주,최인환",38675,1817997,190247394,https://www.genie.co.kr/detail/songInfo?xgnm=96549502,96549502
47,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,OST / 드라마,03:54,"한성호,수윤 (Sooyoon)","한성호,박수석,Moon Kim (Room01)",정진욱,33143,1387386,40716913,https://www.genie.co.kr/detail/songInfo?xgnm=104055957,104055957
48,에피소드,이무진,에피소드,가요 / 락,03:25,이무진,"이무진,함준석,EastWest,Junzo","함준석,EastWest",31593,1522282,43703353,https://www.genie.co.kr/detail/songInfo?xgnm=104821618,104821618
49,멸종위기사랑,이찬혁,EROS,가요 / 댄스,03:40,이찬혁,"이찬혁,MILLENNIUM,시황,이진협",,3581,170527,1169371,https://www.genie.co.kr/detail/songInfo?xgnm=110968221,110968221
50,슬픈 초대장,순순희 (지환),슬픈 초대장,가요 / 발라드,04:07,김진아,이상준,한길 (Han Gil),17818,1128835,30449996,https://www.genie.co.kr/detail/songInfo?xgnm=104919515,104919515
51,ATTITUDE,IVE (아이브),IVE EMPATHY,가요 / 댄스,03:15,"서지음,Nietzsche,장원영 (IVE)","James Daniel Lewis,Ryan S. Jhun,Suzanne Vega,Rollo,Olga Sundin,Lotte Mørkved","Ryan S. Jhun,James Daniel Lewis",13500,880078,14181136,https://www.genie.co.kr/detail/songInfo?xgnm=108981829,108981829
52,다시 만날 수 있을까,임영웅,IM HERO,가요 / 발라드,04:34,이적,이적,양시온,31939,1579311,174719283,https://www.genie.co.kr/detail/songInfo?xgnm=96696809,96696809
53,Cruel Summer,Taylor Swift,Lover,POP / 팝,02:59,,,,24628,1183158,21578260,https://www.genie.co.kr/detail/songInfo?xgnm=89327408,89327408
54,미치게 그리워서,황가람,미치게 그리워서,가요 / 인디,03:37,유해준,유해준,신성진,9933,721131,10593382,https://www.genie.co.kr/detail/songInfo?xgnm=109037899,109037899
55,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album 'Sparkling Blue',가요 / 전체,02:32,"WASURENAI,브라더수 (Brothersu),Jeon Jin,BuildingOwner,Glenn (PRISMFILTER)","WASURENAI,Jeon Jin,Ohway!,Nmore,Heon Seo (헌서),BuildingOwner,Glenn (PRISMFILTER),T-SK,YouthK","WASURENAI,Jeon Jin,Nmore,BuildingOwner,Ohway!",34070,1527797,49059959,https://www.genie.co.kr/detail/songInfo?xgnm=105262751,105262751
56,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,가요 / 발라드,04:50,이찬혁,이찬혁,이현영,115468,4035803,151902619,https://www.genie.co.kr/detail/songInfo?xgnm=89382909,89382909
57,I AM,IVE (아이브),I've IVE,가요 / 댄스,03:04,김이나,"Ryan S. Jhun,Kristin Marie,Audun Agnar Guldbrandsen,Eline Noelia Myreng","Ryan S. Jhun,Audun Agnar Guldbrandsen,Kristin Marie",46772,1997230,78999414,https://www.genie.co.kr/detail/songInfo?xgnm=101268096,101268096
58,나는 아픈 건 딱 질색이니까,i-dle (아이들),2,가요 / 댄스,02:42,소연 (SOYEON),"소연 (SOYEON),Pop Time,Daily,Likey","Pop Time,Daily,Likey,소연 (SOYEON)",35549,1582133,50479987,https://www.genie.co.kr/detail/songInfo?xgnm=105260468,105260468
59,TAKEDOWN (JEONGYEON & JIHYO & CHAEYOUNG),TWICE (트와이스),KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,03:01,,,,5755,365507,2245400,https://www.genie.co.kr/detail/songInfo?xgnm=110589412,110589412
60,천국보다 아름다운,임영웅,천국보다 아름다운,가요 / 발라드,04:55,4BOUT (어바웃),"4BOUT (어바웃),Echez,Hwan,SKINNER BOX,KIME,히모,Addicted,Sine.wav","4BOUT (어바웃),Echez,Hwan,SKINNER BOX,KIME,히모,Addicted,Sine.wav",10024,230956,30313352,https://www.genie.co.kr/detail/songInfo?xgnm=109752407,109752407
61,HANDS UP,MEOVV (미야오),MY EYES OPEN VVIDE,가요 / 댄스,03:12,"TEDDY,Vince,24","TEDDY,24","24,Dominsuk",6086,503716,5561539,https://www.genie.co.kr/detail/songInfo?xgnm=109960034,109960034
62,UP (KARINA Solo),aespa,SYNK : PARALLEL LINE - Special Digital Single,가요 / 댄스,02:47,카리나 (KARINA),"Slow Rabbit,Morgan Connie Smith,Taneisha Jackson,Sofia Quinn,PXPILLON,Emma-Lee Andersson,BB Elliot,Stella Jones (153/Joombas)","Slow Rabbit,PXPILLON",16360,1071679,22089445,https://www.genie.co.kr/detail/songInfo?xgnm=108014478,108014478
63,가까운 듯 먼 그대여,카더가든,가까운 듯 먼 그대여,가요 / 발라드,03:15,"손박사,윤토벤 (YounToven)","윤토벤 (YounToven),손박사","O.YEON,박지환",23889,1116257,19705329,https://www.genie.co.kr/detail/songInfo?xgnm=94124212,94124212
64,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),가요 / 발라드,04:11,강현민,강현민,정수민 (SSMusic),29086,1388016,33779157,https://www.genie.co.kr/detail/songInfo?xgnm=103024121,103024121
65,청혼하지 않을 이유를 못 찾았어,이무진,청혼하지 않을 이유를 못 찾았어,가요 / 발라드,04:23,"이무진,Rizin (153/Joombas),투챔프 (Alive Nation),세영 (153/Joombas)","이무진,서동환,하성호",서동환,14575,1031560,20528142,https://www.genie.co.kr/detail/songInfo?xgnm=105980797,105980797
66,비의 랩소디,임재현,비의 랩소디,가요 / 발라드,03:55,"주영훈,이세준 (유리상자)",주영훈,신성진,25335,1514750,43145082,https://www.genie.co.kr/detail/songInfo?xgnm=104553679,104553679
67,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',가요 / 락,05:01,윤하 (YOUNHA),"윤하 (YOUNHA),JEWNO (손준호)","JEWNO (손준호),숀 (SHAUN)",68442,2369039,88123968,https://www.genie.co.kr/detail/songInfo?xgnm=96424586,96424586
68,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part. 3 (SBS 월화드라마),OST / 드라마,03:31,어깨깡패,어깨깡패,어깨깡패,120876,4832124,215236982,https://www.genie.co.kr/detail/songInfo?xgnm=87840106,87840106
69,PO￦ER,G-DRAGON,PO￦ER,가요 / 랩/힙합,02:23,G-DRAGON,"Tommy Brown,Theron Thomas,Steven Franks,G-DRAGON","Tommy Brown,Steven Franks",22387,1173624,24304576,https://www.genie.co.kr/detail/songInfo?xgnm=108221081,108221081
70,Flower,오반 (OVAN),교회오빠,가요 / 인디,02:50,오반 (OVAN),"오반 (OVAN),히모",히모,10820,614491,8425146,https://www.genie.co.kr/detail/songInfo?xgnm=109356852,109356852
71,Home,임영웅,온기,가요 / 댄스,03:55,"임영웅,X-CHILD",X-CHILD,"X-CHILD,정수완",12575,359913,65550445,https://www.genie.co.kr/detail/songInfo?xgnm=106393875,106393875
72,Love wins all,아이유 (IU),The Winning,가요 / 발라드,04:31,아이유 (IU),서동환,서동환,35276,1585429,41634940,https://www.genie.co.kr/detail/songInfo?xgnm=105293063,105293063
73,무지개,임영웅,IM HERO,가요 / 전체,03:16,"김시온 (KIM ZION),멧돼지","멧돼지,김시온 (KIM ZION)","김시온 (KIM ZION),멧돼지,정수완",27384,1307121,139835082,https://www.genie.co.kr/detail/songInfo?xgnm=96696807,96696807
74,헤어지자 말해요,박재정,1집 Alone,가요 / 발라드,04:04,박재정,"박재정,박현중",박현중,39137,1855547,60681081,https://www.genie.co.kr/detail/songInfo?xgnm=101407645,101407645
75,사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙),OST / 드라마,03:05,김민석,멜로망스 (MeloMance),정동환 (멜로망스),51780,2501656,85094749,https://www.genie.co.kr/detail/songInfo?xgnm=96042335,96042335
76,모래 알갱이,임영웅,모래 알갱이,가요 / 발라드,03:40,"임영웅,김수형,황선호","임영웅,김수형,황선호",물고기,19958,889191,115604743,https://www.genie.co.kr/detail/songInfo?xgnm=102067588,102067588
77,London Boy,임영웅,Polaroid,가요 / 락,04:04,"임영웅,Ji Soo Park (Chapter M)","임영웅,Ji Soo Park (Chapter M)",홍갑,22812,990196,131576581,https://www.genie.co.kr/detail/songInfo?xgnm=99014221,99014221
78,주저하는 연인들을 위해,잔나비,전설,가요 / 인디,04:25,잔나비 최정훈,"잔나비 최정훈,잔나비 김도형,유영현","잔나비 최정훈,잔나비 김도형,유영현,권지수",105183,4072366,138283809,https://www.genie.co.kr/detail/songInfo?xgnm=88686378,88686378
79,HOT,LE SSERAFIM (르세라핌),HOT,가요 / 댄스,02:24,"Jackson Shanks,Supreme Boi,Ali Tamposi,Feli Ferraro,SCORE (13),Megatone (13),''hitman''bang,허윤진","Jackson Shanks,Supreme Boi,Ali Tamposi,Feli Ferraro,SCORE (13),Megatone (13),''hitman''bang,허윤진",,7133,633097,8765323,https://www.genie.co.kr/detail/songInfo?xgnm=109450165,109450165
80,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면,가요 / 발라드,03:51,"한상원,이진성 (먼데이 키즈/Monday Kiz)","한상원,이진성 (먼데이 키즈/Monday Kiz)",한상원,59923,2589443,104836466,https://www.genie.co.kr/detail/songInfo?xgnm=93336453,93336453
81,Small girl (Feat. 도경수 (D.O.)),이영지,16 Fantasy,가요 / 랩/힙합,03:10,이영지,"PEEJAY,이영지",PEEJAY,26988,1300189,28505487,https://www.genie.co.kr/detail/songInfo?xgnm=106955582,106955582
82,온기,임영웅,온기,가요 / 발라드,03:55,"임영웅,김이나","임영웅,정수완,황선호",물고기,12277,380123,63139976,https://www.genie.co.kr/detail/songInfo?xgnm=106393876,106393876
83,보금자리,임영웅,IM HERO,가요 / 트로트,02:52,박진복,박상철,이창우,20153,856689,106214792,https://www.genie.co.kr/detail/songInfo?xgnm=96696813,96696813
84,Do or Die,임영웅,Do or Die,가요 / 댄스,03:25,"차리 (153/Joombas),임영웅","AVENUE 52,Jimmy Burney (153/Joombas)",AVENUE 52,14072,505578,100031056,https://www.genie.co.kr/detail/songInfo?xgnm=103807036,103807036
85,How Sweet,NewJeans,How Sweet,가요 / 댄스,03:39,"Gigi,Sarah Aarons,Elvira Anderfjard,Oscar Scheller,Stella Bennett,Tove Burman,다니엘 (DANIELLE)","250,Sarah Aarons,Elvira Anderfjard,Oscar Scheller,Stella Bennett,Tove Burman",250,25148,1369693,35647209,https://www.genie.co.kr/detail/songInfo?xgnm=106668582,106668582
86,인생찬가,임영웅,IM HERO,가요 / 발라드,03:53,윤명선,"윤명선,해구","해구,임미란",20638,875857,127219478,https://www.genie.co.kr/detail/songInfo?xgnm=96696817,96696817
87,심 (心),DK (디셈버),심 (心),가요 / 락,04:17,박준배,이근상,정수민 (SSMusic),25197,1638776,48065276,https://www.genie.co.kr/detail/songInfo?xgnm=100522029,100522029
88,I Don't Think That I Like Her,Charlie Puth,CHARLIE,POP / 팝,03:09,,,,52882,2006269,58857013,https://www.genie.co.kr/detail/songInfo?xgnm=98304971,98304971
89,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",가요 / 발라드,04:18,"조은영,짙은",짙은,"최상언,김홍준",21112,1320019,29239253,https://www.genie.co.kr/detail/songInfo?xgnm=102531243,102531243
90,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',가요 / 댄스,02:57,"Gigi,Ylva Dimberg,하니 (HANNI)","250,Ylva Dimberg",250,54764,2409211,102793741,https://www.genie.co.kr/detail/songInfo?xgnm=97582507,97582507
91,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,가요 / 발라드,04:19,백마리,백마리,전주현,25198,1472089,36378463,https://www.genie.co.kr/detail/songInfo?xgnm=102605425,102605425
92,Magnetic,아일릿 (ILLIT),SUPER REAL ME,가요 / 댄스,02:41,"Slow Rabbit,''hitman''bang,마틴,salem ilese,danke,Vincenzo,이이진,Piri,Lauren Aquilina,Marcus Andersson,김키위,오현선 (lalala studio),제임스","Slow Rabbit,''hitman''bang,마틴,salem ilese,danke,Vincenzo,이이진,Piri,Lauren Aquilina,Marcus Andersson,김키위,오현선 (lalala studio),제임스",,22736,1374854,38690826,https://www.genie.co.kr/detail/songInfo?xgnm=105872512,105872512
93,STYLE,Hearts2Hearts (하츠투하츠),STYLE,가요 / 댄스,03:30,KENZIE,"Mike Daley,Mitchell Owens,Adrian Mckinnon,Sara Forsberg","Mike Daley,Mitchell Owens",3301,241214,2260697,https://www.genie.co.kr/detail/songInfo?xgnm=110569963,110569963
94,DRIP,BABYMONSTER,DRIP,가요 / 댄스,03:01,"Sandra Wikstrom,YG,AiRPLAY,MASTA WU,CHOICE37,Sonny","AiRPLAY,Illjun,Sandra Wikstrom,G-DRAGON","AiRPLAY,Illjun,YG",10149,765829,12401396,https://www.genie.co.kr/detail/songInfo?xgnm=108218789,108218789
95,사랑의 바보,더 넛츠 (The NuTs),The NuTs,가요 / 락,04:22,,,,30180,1600183,30047010,https://www.genie.co.kr/detail/songInfo?xgnm=16176274,16176274
96,Mantra,제니 (JENNIE),Mantra,가요 / 댄스,02:17,"제니 (JENNIE),Claudia Valentina,Elle Campbell,Zikai,Jumpa,Billy Walsh,Jelli Dorman,Serban Ionut Kazan","제니 (JENNIE),Claudia Valentina,Elle Campbell,Zikai,Jumpa,Billy Walsh,Jelli Dorman,Serban Ionut Kazan","Jumpa,El Guincho,Serban",13079,1043372,20239179,https://www.genie.co.kr/detail/songInfo?xgnm=108040137,108040137
97,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life),가요 / 락,03:08,"G-DRAGON,T.O.P,KUSH","KUSH,VVN,Vince,G-DRAGON,T.O.P","KUSH,서원진,24",62081,2285880,70920491,https://www.genie.co.kr/detail/songInfo?xgnm=96482850,96482850
98,네모의 꿈,아이유 (IU),꽃갈피 셋,가요 / 발라드,03:21,유영석,유영석,"제휘,flexindoor",7065,526658,4251727,https://www.genie.co.kr/detail/songInfo?xgnm=110308614,110308614
99,너의 모든 순간,성시경,별에서 온 그대 OST Part.7 (SBS 수목드라마),OST / 드라마,04:03,심현보,성시경,안준영,67347,4105429,112107906,https://www.genie.co.kr/detail/songInfo?xgnm=82280761,82280761
100,어땠을까 (Feat. 박정현),싸이 (Psy),싸이6甲 Part.1,가요 / 댄스,04:04,싸이 (Psy),"싸이 (Psy),유건형",유건형,34672,2234363,41272462,https://www.genie.co.kr/detail/songInfo?xgnm=81397683,81397683
