순위,곡명,아티스트,앨범명,장르,재생시간,작사가,작곡가,편곡자,좋아요,전체 청취자수,전체 재생수,상세URL,곡ID
17,REBEL HEART,IVE (아이브),IVE EMPATHY,가요 / 댄스,03:08,Nietzsche,"Emily Harbakk,Ryan S. Jhun,Thomas G:son,Jimmy Jansson,Maia Wright,Jack Brady,Jordan Roman","Ryan S. Jhun,Gucci Caliente,The Wavys",24377,1138327,24387001,https://www.genie.co.kr/detail/songInfo?xgnm=108836768,108836768
18,시작의 아이 ❍,박다혜 & 마크툽 (Maktub),시작의 아이 ❍ ハジマリのコ Starting With You : ♡,가요 / 인디,04:17,마크툽 (MAKTUB),마크툽 (MAKTUB),마크툽 (MAKTUB),4607,234818,1412028,https://www.genie.co.kr/detail/songInfo?xgnm=111280752,111280752
19,나는 반딧불,황가람,나는 반딧불,가요 / 인디,03:35,정중식,정중식,우주비,39647,1344692,35480597,https://www.genie.co.kr/detail/songInfo?xgnm=108110746,108110746
20,What It Sounds Like,HUNTR/X & EJAE & Audrey Nuna & REI AMI & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,04:10,,,,9813,407423,3009017,https://www.genie.co.kr/detail/songInfo?xgnm=110589420,110589420
21,어제보다 슬픈 오늘,우디 (Woody),어제보다 슬픈 오늘,가요 / 발라드,03:56,김창환,김건모,신성진,11347,716039,10188825,https://www.genie.co.kr/detail/songInfo?xgnm=109608007,109608007
22,HAPPY,DAY6 (데이식스),Fourever,가요 / 락,03:10,Young K (DAY6),"성진 (DAY6),원필 (DAY6),홍지상",홍지상,36651,1478215,41397780,https://www.genie.co.kr/detail/songInfo?xgnm=105757622,105757622
23,APT.,로제 (ROSÉ) & Bruno Mars,APT.,가요 / 락,02:50,"로제 (ROSÉ),Amy Allen,Christopher Brody Brown,Rogét Chahayed,Omer Fedi,Philip Lawrence,Bruno Mars,Theron Thomas,Henry Walter,Michael Chapman,Nicholas Chinn","로제 (ROSÉ),Amy Allen,Christopher Brody Brown,Rogét Chahayed,Omer Fedi,Philip Lawrence,Bruno Mars,Theron Thomas,Henry Walter,Michael Chapman,Nicholas Chinn","Bruno Mars,Cirkut,Omer Fedi,Rogét Chahayed",41562,1513835,45700968,https://www.genie.co.kr/detail/songInfo?xgnm=108107291,108107291
24,WICKED,ALLDAY PROJECT,FAMOUS,가요 / 랩/힙합,02:37,"TARZZAN,WOOCHAN,ANNIE,YOUNGSEO,BAILEY,Vince,Theron Thomas,Tommy Brown,Amanda Ratchford,Courtlin Jabrae Edwards","Theron Thomas,Dominsuk,24,Vince","Dominsuk,24",5438,448330,4381803,https://www.genie.co.kr/detail/songInfo?xgnm=110649475,110649475
25,Free,Rumi & Jinu & EJAE & Andrew Choi & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,03:08,,,,8322,386952,2852801,https://www.genie.co.kr/detail/songInfo?xgnm=110589419,110589419
26,TOO BAD (Feat. Anderson .Paak),G-DRAGON,Übermensch,가요 / 랩/힙합,02:34,"G-DRAGON,Anderson .Paak","G-DRAGON,Anderson .Paak,Bongo,Alissia,Yohan","G-DRAGON,Anderson .Paak,Bongo,Alissia",22190,1132878,22586836,https://www.genie.co.kr/detail/songInfo?xgnm=109217637,109217637
27,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,가요 / 락,03:26,Young K (DAY6),"Jae,성진 (DAY6),Young K (DAY6),원필 (DAY6),홍지상",홍지상,75020,2328006,74436679,https://www.genie.co.kr/detail/songInfo?xgnm=89220627,89220627
28,내게 사랑이 뭐냐고 물어본다면,로이킴,내게 사랑이 뭐냐고 물어본다면,가요 / 발라드,03:43,로이킴,로이킴,강화성,20198,1163401,25073600,https://www.genie.co.kr/detail/songInfo?xgnm=108005739,108005739
29,눈물참기,QWER,"3rd Mini Album '난 네 편이야, 온 세상이 불협일지라도'",가요 / 락,03:22,"이동혁,김혜정,시연,마젠타,히나,홍지혜,GESTURE,Elum","이동혁,GESTURE,ONE.KI,Elum","이동혁,홍훈기",6818,515017,5335460,https://www.genie.co.kr/detail/songInfo?xgnm=110420530,110420530
30,Die With A Smile,Lady Gaga & Bruno Mars,Die With A Smile,POP / 팝,04:12,,,,22043,931781,14237074,https://www.genie.co.kr/detail/songInfo?xgnm=107520166,107520166
31,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,OST / 드라마,04:03,강태규,홍진영,한밤 (Midnight),68274,2611056,268339303,https://www.genie.co.kr/detail/songInfo?xgnm=94535712,94535712
32,내 이름 맑음,QWER,2nd Mini Album 'Algorithm's Blossom',가요 / 락,03:08,소연 (SOYEON),"소연 (SOYEON),Pop Time,Daily,Likey","Pop Time,Daily,Likey,소연 (SOYEON)",21832,1185873,27433652,https://www.genie.co.kr/detail/songInfo?xgnm=107855545,107855545
33,Welcome to the Show,DAY6 (데이식스),Fourever,가요 / 락,03:37,Young K (DAY6),"성진 (DAY6),Young K (DAY6),원필 (DAY6),홍지상",홍지상,34484,1440635,40539752,https://www.genie.co.kr/detail/songInfo?xgnm=105757621,105757621
34,Never Ending Story,아이유 (IU),꽃갈피 셋,가요 / 발라드,03:44,김태원,김태원,서동환,10791,758093,7329995,https://www.genie.co.kr/detail/songInfo?xgnm=110308610,110308610
35,MY LOVE (2025),이예은 & 아샤트리 & 전건호,MY LOVE (2025),가요 / 발라드,04:02,이도연,이상준,"임광균,한상원",8980,651658,10022570,https://www.genie.co.kr/detail/songInfo?xgnm=109179632,109179632
36,고민중독,QWER,1st Mini Album 'MANITO',가요 / 락,02:56,"이동혁,GESTURE,김혜정,Elum,마젠타","이동혁,홍훈기,Elum,GESTURE,한아영","이동혁,한아영",32105,1484776,45999555,https://www.genie.co.kr/detail/songInfo?xgnm=105938136,105938136
37,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),가요 / 발라드,04:31,유해준,유해준,"김수빈 (AIMING),임수혁 (AIMING)",27417,1395999,38756414,https://www.genie.co.kr/detail/songInfo?xgnm=105563654,105563654
38,운명 (2025),먼데이 키즈 & 이이경,먼키의 발자국 Vol.1,가요 / 전체,04:19,BRAVE (브레이브),한상원,"이도형 (AUG),편준원 (AUG)",2948,253196,1687570,https://www.genie.co.kr/detail/songInfo?xgnm=111134057,111134057
39,Supernova,aespa,Armageddon - The 1st Album,가요 / 댄스,02:59,KENZIE,"KENZIE,Paris Alexa,Dem Jointz",Dem Jointz,29655,1548421,51218511,https://www.genie.co.kr/detail/songInfo?xgnm=106536223,106536223
40,여름이었다,H1-KEY (하이키),H1-KEY 4th Mini Album ［Lovestruck］,가요 / 댄스,03:12,시우,시우,"시우,Jeon Hong Jun",4587,339076,2580236,https://www.genie.co.kr/detail/songInfo?xgnm=110586309,110586309
41,예뻤어,DAY6 (데이식스),Every DAY6 February,가요 / 락,04:43,Young K (DAY6),"홍지상,이우민 'Collapsedone',원필 (DAY6),Young K (DAY6)","홍지상,이우민 'Collapsedone'",81705,2449487,85170588,https://www.genie.co.kr/detail/songInfo?xgnm=86931930,86931930
42,toxic till the end,로제 (ROSÉ),rosie,가요 / 락,02:37,"로제 (ROSÉ),Evan Blair,Michael Pollack,Emily Warren Schwartz","로제 (ROSÉ),Evan Blair,Michael Pollack,Emily Warren Schwartz",Evan Blair,19432,996914,19539306,https://www.genie.co.kr/detail/songInfo?xgnm=108575614,108575614
43,ATTITUDE,IVE (아이브),IVE EMPATHY,가요 / 댄스,03:15,"서지음,Nietzsche,장원영 (IVE)","James Daniel Lewis,Ryan S. Jhun,Suzanne Vega,Rollo,Olga Sundin,Lotte Mørkved","Ryan S. Jhun,James Daniel Lewis",13413,875483,14028048,https://www.genie.co.kr/detail/songInfo?xgnm=108981829,108981829
44,오늘만 I LOVE YOU,BOYNEXTDOOR,오늘만 I LOVE YOU,가요 / 댄스,02:42,"Kako,운학","Pop Time,Kako,Daily,Ryo,Likey,지코 (ZICO),태산,운학","Pop Time,Daily,Likey",23754,815227,14461279,https://www.genie.co.kr/detail/songInfo?xgnm=108805146,108805146
45,에피소드,이무진,에피소드,가요 / 락,03:25,이무진,"이무진,함준석,EastWest,Junzo","함준석,EastWest",31537,1519084,43546936,https://www.genie.co.kr/detail/songInfo?xgnm=104821618,104821618
46,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,가요 / 트로트,04:03,김이나,조영수,"조영수,이유진",66555,3048415,368420479,https://www.genie.co.kr/detail/songInfo?xgnm=90077755,90077755
47,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,OST / 드라마,03:54,"한성호,수윤 (Sooyoon)","한성호,박수석,Moon Kim (Room01)",정진욱,33038,1383857,40551942,https://www.genie.co.kr/detail/songInfo?xgnm=104055957,104055957
48,TAKEDOWN (JEONGYEON & JIHYO & CHAEYOUNG),TWICE (트와이스),KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,03:01,,,,5518,351092,2094274,https://www.genie.co.kr/detail/songInfo?xgnm=110589412,110589412
49,나는 아픈 건 딱 질색이니까,i-dle (아이들),2,가요 / 댄스,02:42,소연 (SOYEON),"소연 (SOYEON),Pop Time,Daily,Likey","Pop Time,Daily,Likey,소연 (SOYEON)",35501,1579182,50333370,https://www.genie.co.kr/detail/songInfo?xgnm=105260468,105260468
50,Cruel Summer,Taylor Swift,Lover,POP / 팝,02:59,,,,24527,1178998,21435063,https://www.genie.co.kr/detail/songInfo?xgnm=89327408,89327408
51,우리들의 블루스,임영웅,IM HERO,가요 / 발라드,03:27,지훈,"이승주,최인환","이승주,최인환",38602,1816021,189888998,https://www.genie.co.kr/detail/songInfo?xgnm=96549502,96549502
52,슬픈 초대장,순순희 (지환),슬픈 초대장,가요 / 발라드,04:07,김진아,이상준,한길 (Han Gil),17755,1125157,30302057,https://www.genie.co.kr/detail/songInfo?xgnm=104919515,104919515
53,다시 만날 수 있을까,임영웅,IM HERO,가요 / 발라드,04:34,이적,이적,양시온,31871,1577383,174365969,https://www.genie.co.kr/detail/songInfo?xgnm=96696809,96696809
54,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album 'Sparkling Blue',가요 / 전체,02:32,"WASURENAI,브라더수 (Brothersu),Jeon Jin,BuildingOwner,Glenn (PRISMFILTER)","WASURENAI,Jeon Jin,Ohway!,Nmore,Heon Seo (헌서),BuildingOwner,Glenn (PRISMFILTER),T-SK,YouthK","WASURENAI,Jeon Jin,Nmore,BuildingOwner,Ohway!",33996,1524906,48922261,https://www.genie.co.kr/detail/songInfo?xgnm=105262751,105262751
55,HANDS UP,MEOVV (미야오),MY EYES OPEN VVIDE,가요 / 댄스,03:12,"TEDDY,Vince,24","TEDDY,24","24,Dominsuk",6004,496557,5426689,https://www.genie.co.kr/detail/songInfo?xgnm=109960034,109960034
56,I AM,IVE (아이브),I've IVE,가요 / 댄스,03:04,김이나,"Ryan S. Jhun,Kristin Marie,Audun Agnar Guldbrandsen,Eline Noelia Myreng","Ryan S. Jhun,Audun Agnar Guldbrandsen,Kristin Marie",46697,1993966,78860127,https://www.genie.co.kr/detail/songInfo?xgnm=101268096,101268096
57,천국보다 아름다운,임영웅,천국보다 아름다운,가요 / 발라드,04:55,4BOUT (어바웃),"4BOUT (어바웃),Echez,Hwan,SKINNER BOX,KIME,히모,Addicted,Sine.wav","4BOUT (어바웃),Echez,Hwan,SKINNER BOX,KIME,히모,Addicted,Sine.wav",9913,227351,29346019,https://www.genie.co.kr/detail/songInfo?xgnm=109752407,109752407
58,멸종위기사랑,이찬혁,EROS,가요 / 댄스,03:40,이찬혁,"이찬혁,MILLENNIUM,시황,이진협",,3220,145108,987605,https://www.genie.co.kr/detail/songInfo?xgnm=110968221,110968221
59,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,가요 / 발라드,04:50,이찬혁,이찬혁,이현영,115380,4032402,151760268,https://www.genie.co.kr/detail/songInfo?xgnm=89382909,89382909
60,가까운 듯 먼 그대여,카더가든,가까운 듯 먼 그대여,가요 / 발라드,03:15,"손박사,윤토벤 (YounToven)","윤토벤 (YounToven),손박사","O.YEON,박지환",23763,1110654,19565158,https://www.genie.co.kr/detail/songInfo?xgnm=94124212,94124212
61,HOT,LE SSERAFIM (르세라핌),HOT,가요 / 댄스,02:24,"Jackson Shanks,Supreme Boi,Ali Tamposi,Feli Ferraro,SCORE (13),Megatone (13),''hitman''bang,허윤진","Jackson Shanks,Supreme Boi,Ali Tamposi,Feli Ferraro,SCORE (13),Megatone (13),''hitman''bang,허윤진",,7077,628769,8645455,https://www.genie.co.kr/detail/songInfo?xgnm=109450165,109450165
62,UP (KARINA Solo),aespa,SYNK : PARALLEL LINE - Special Digital Single,가요 / 댄스,02:47,카리나 (KARINA),"Slow Rabbit,Morgan Connie Smith,Taneisha Jackson,Sofia Quinn,PXPILLON,Emma-Lee Andersson,BB Elliot,Stella Jones (153/Joombas)","Slow Rabbit,PXPILLON",16324,1068337,21959052,https://www.genie.co.kr/detail/songInfo?xgnm=108014478,108014478
63,미치게 그리워서,황가람,미치게 그리워서,가요 / 인디,03:37,유해준,유해준,신성진,9877,715855,10451725,https://www.genie.co.kr/detail/songInfo?xgnm=109037899,109037899
64,PO￦ER,G-DRAGON,PO￦ER,가요 / 랩/힙합,02:23,G-DRAGON,"Tommy Brown,Theron Thomas,Steven Franks,G-DRAGON","Tommy Brown,Steven Franks",22344,1170623,24177924,https://www.genie.co.kr/detail/songInfo?xgnm=108221081,108221081
65,비의 랩소디,임재현,비의 랩소디,가요 / 발라드,03:55,"주영훈,이세준 (유리상자)",주영훈,신성진,25267,1512080,43014228,https://www.genie.co.kr/detail/songInfo?xgnm=104553679,104553679
66,Flower,오반 (OVAN),교회오빠,가요 / 인디,02:50,오반 (OVAN),"오반 (OVAN),히모",히모,10716,609452,8290080,https://www.genie.co.kr/detail/songInfo?xgnm=109356852,109356852
67,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),가요 / 발라드,04:11,강현민,강현민,정수민 (SSMusic),29006,1385035,33651823,https://www.genie.co.kr/detail/songInfo?xgnm=103024121,103024121
68,청혼하지 않을 이유를 못 찾았어,이무진,청혼하지 않을 이유를 못 찾았어,가요 / 발라드,04:23,"이무진,Rizin (153/Joombas),투챔프 (Alive Nation),세영 (153/Joombas)","이무진,서동환,하성호",서동환,14496,1027661,20404157,https://www.genie.co.kr/detail/songInfo?xgnm=105980797,105980797
69,Home,임영웅,온기,가요 / 댄스,03:55,"임영웅,X-CHILD",X-CHILD,"X-CHILD,정수완",12495,358248,65212287,https://www.genie.co.kr/detail/songInfo?xgnm=106393875,106393875
70,무지개,임영웅,IM HERO,가요 / 전체,03:16,"김시온 (KIM ZION),멧돼지","멧돼지,김시온 (KIM ZION)","김시온 (KIM ZION),멧돼지,정수완",27318,1305938,139505969,https://www.genie.co.kr/detail/songInfo?xgnm=96696807,96696807
71,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition',가요 / 락,05:01,윤하 (YOUNHA),"윤하 (YOUNHA),JEWNO (손준호)","JEWNO (손준호),숀 (SHAUN)",68391,2366473,88003851,https://www.genie.co.kr/detail/songInfo?xgnm=96424586,96424586
72,Love wins all,아이유 (IU),The Winning,가요 / 발라드,04:31,아이유 (IU),서동환,서동환,35209,1582672,41508637,https://www.genie.co.kr/detail/songInfo?xgnm=105293063,105293063
73,Small girl (Feat. 도경수 (D.O.)),이영지,16 Fantasy,가요 / 랩/힙합,03:10,이영지,"PEEJAY,이영지",PEEJAY,26933,1297334,28389406,https://www.genie.co.kr/detail/songInfo?xgnm=106955582,106955582
74,London Boy,임영웅,Polaroid,가요 / 락,04:04,"임영웅,Ji Soo Park (Chapter M)","임영웅,Ji Soo Park (Chapter M)",홍갑,22747,989019,131247713,https://www.genie.co.kr/detail/songInfo?xgnm=99014221,99014221
75,모래 알갱이,임영웅,모래 알갱이,가요 / 발라드,03:40,"임영웅,김수형,황선호","임영웅,김수형,황선호",물고기,19897,888046,115277486,https://www.genie.co.kr/detail/songInfo?xgnm=102067588,102067588
76,사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙),OST / 드라마,03:05,김민석,멜로망스 (MeloMance),정동환 (멜로망스),51690,2498950,84973202,https://www.genie.co.kr/detail/songInfo?xgnm=96042335,96042335
77,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면,가요 / 발라드,03:51,"한상원,이진성 (먼데이 키즈/Monday Kiz)","한상원,이진성 (먼데이 키즈/Monday Kiz)",한상원,59876,2587291,104720336,https://www.genie.co.kr/detail/songInfo?xgnm=93336453,93336453
78,온기,임영웅,온기,가요 / 발라드,03:55,"임영웅,김이나","임영웅,정수완,황선호",물고기,12205,378662,62812152,https://www.genie.co.kr/detail/songInfo?xgnm=106393876,106393876
79,주저하는 연인들을 위해,잔나비,전설,가요 / 인디,04:25,잔나비 최정훈,"잔나비 최정훈,잔나비 김도형,유영현","잔나비 최정훈,잔나비 김도형,유영현,권지수",105100,4069786,138162095,https://www.genie.co.kr/detail/songInfo?xgnm=88686378,88686378
80,I Don't Think That I Like Her,Charlie Puth,CHARLIE,POP / 팝,03:09,,,,52815,2003739,58748955,https://www.genie.co.kr/detail/songInfo?xgnm=98304971,98304971
81,보금자리,임영웅,IM HERO,가요 / 트로트,02:52,박진복,박상철,이창우,20088,855453,105897582,https://www.genie.co.kr/detail/songInfo?xgnm=96696813,96696813
82,헤어지자 말해요,박재정,1집 Alone,가요 / 발라드,04:04,박재정,"박재정,박현중",박현중,39091,1852600,60566197,https://www.genie.co.kr/detail/songInfo?xgnm=101407645,101407645
83,클락션 (Klaxon),i-dle (아이들),I SWAY,가요 / 댄스,02:55,소연 (SOYEON),"소연 (SOYEON),Pop Time,Daily,Likey","Pop Time,Daily,Likey,소연 (SOYEON)",15306,1164928,23419426,https://www.genie.co.kr/detail/songInfo?xgnm=107143457,107143457
84,Do or Die,임영웅,Do or Die,가요 / 댄스,03:25,"차리 (153/Joombas),임영웅","AVENUE 52,Jimmy Burney (153/Joombas)",AVENUE 52,14005,504419,99709934,https://www.genie.co.kr/detail/songInfo?xgnm=103807036,103807036
85,How Sweet,NewJeans,How Sweet,가요 / 댄스,03:39,"Gigi,Sarah Aarons,Elvira Anderfjard,Oscar Scheller,Stella Bennett,Tove Burman,다니엘 (DANIELLE)","250,Sarah Aarons,Elvira Anderfjard,Oscar Scheller,Stella Bennett,Tove Burman",250,25111,1367049,35531654,https://www.genie.co.kr/detail/songInfo?xgnm=106668582,106668582
86,LIKE YOU BETTER,프로미스나인,From Our 20's,가요 / 댄스,03:05,"Tomy,HANIHAS(XYXX),유연","HONEY NOISE (THE HUB),Awrii (THE HUB),Ayushy (THE HUB),Frankie Day (THE HUB),Brian U (THE HUB),Tomy","HONEY NOISE (THE HUB),Brian U (THE HUB)",5455,279184,2374603,https://www.genie.co.kr/detail/songInfo?xgnm=110673874,110673874
87,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯,가요 / 발라드,04:19,백마리,백마리,전주현,25133,1469143,36267454,https://www.genie.co.kr/detail/songInfo?xgnm=102605425,102605425
88,Magnetic,아일릿 (ILLIT),SUPER REAL ME,가요 / 댄스,02:41,"Slow Rabbit,''hitman''bang,마틴,salem ilese,danke,Vincenzo,이이진,Piri,Lauren Aquilina,Marcus Andersson,김키위,오현선 (lalala studio),제임스","Slow Rabbit,''hitman''bang,마틴,salem ilese,danke,Vincenzo,이이진,Piri,Lauren Aquilina,Marcus Andersson,김키위,오현선 (lalala studio),제임스",,22678,1372141,38576459,https://www.genie.co.kr/detail/songInfo?xgnm=105872512,105872512
89,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',가요 / 댄스,02:57,"Gigi,Ylva Dimberg,하니 (HANNI)","250,Ylva Dimberg",250,54723,2406904,102683910,https://www.genie.co.kr/detail/songInfo?xgnm=97582507,97582507
90,벌써 일년,브라운 아이즈,Brown Eyes,가요 / 발라드,03:28,한경혜,윤건,윤건,35091,2562320,45796554,https://www.genie.co.kr/detail/songInfo?xgnm=16108183,16108183
91,인생찬가,임영웅,IM HERO,가요 / 발라드,03:53,윤명선,"윤명선,해구","해구,임미란",20579,874851,126901217,https://www.genie.co.kr/detail/songInfo?xgnm=96696817,96696817
92,Mantra,제니 (JENNIE),Mantra,가요 / 댄스,02:17,"제니 (JENNIE),Claudia Valentina,Elle Campbell,Zikai,Jumpa,Billy Walsh,Jelli Dorman,Serban Ionut Kazan","제니 (JENNIE),Claudia Valentina,Elle Campbell,Zikai,Jumpa,Billy Walsh,Jelli Dorman,Serban Ionut Kazan","Jumpa,El Guincho,Serban",13050,1040615,20131674,https://www.genie.co.kr/detail/songInfo?xgnm=108040137,108040137
93,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",가요 / 발라드,04:18,"조은영,짙은",짙은,"최상언,김홍준",21063,1316692,29125483,https://www.genie.co.kr/detail/songInfo?xgnm=102531243,102531243
94,네모의 꿈,아이유 (IU),꽃갈피 셋,가요 / 발라드,03:21,유영석,유영석,"제휘,flexindoor",6983,520931,4143540,https://www.genie.co.kr/detail/songInfo?xgnm=110308614,110308614
95,Stay,The Kid LAROI & Justin Bieber,Stay,POP / 팝,02:22,,,,72507,2818082,97055336,https://www.genie.co.kr/detail/songInfo?xgnm=93717294,93717294
96,DRIP,BABYMONSTER,DRIP,가요 / 댄스,03:01,"Sandra Wikstrom,YG,AiRPLAY,MASTA WU,CHOICE37,Sonny","AiRPLAY,Illjun,Sandra Wikstrom,G-DRAGON","AiRPLAY,Illjun,YG",10102,762309,12294762,https://www.genie.co.kr/detail/songInfo?xgnm=108218789,108218789
97,Older,Sasha Alex Sloan,Older,POP / 팝,03:11,,,,25248,963492,13927037,https://www.genie.co.kr/detail/songInfo?xgnm=88357385,88357385
98,어땠을까 (Feat. 박정현),싸이 (Psy),싸이6甲 Part.1,가요 / 댄스,04:04,싸이 (Psy),"싸이 (Psy),유건형",유건형,34565,2229587,41167618,https://www.genie.co.kr/detail/songInfo?xgnm=81397683,81397683
