분류,곡ID,곡명,아티스트,장르,어제순위,오늘순위,순위변동,어제좋아요,오늘좋아요,좋아요변동,좋아요변화율(%),어제전체청취자수,오늘전체청취자수,청취자수변동,청취자수변화율(%),어제전체재생수,오늘전체재생수,재생수변동,재생수변화율(%),URL
신규진입,107143457,클락션 (Klaxon),i-dle (아이들),가요 / 댄스,,83.0,,,15306.0,,,,1164928.0,,,,23419426.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=107143457
신규진입,81397683,어땠을까 (Feat. 박정현),싸이 (Psy),가요 / 댄스,,98.0,,,34565.0,,,,2229587.0,,,,41167618.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=81397683
신규진입,96482850,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),가요 / 락,,99.0,,,62029.0,,,,2283635.0,,,,70818492.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=96482850
차트이탈,100522029,심 (心),DK (디셈버),가요 / 락,88.0,,,25135.0,,,,1635558.0,,,,47914767.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=100522029
차트이탈,82280761,너의 모든 순간,성시경,OST / 드라마,95.0,,,67277.0,,,,4102163.0,,,,111964375.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=82280761
차트이탈,111455849,CEREMONY,Stray Kids (스트레이 키즈),가요 / 랩/힙합,99.0,,,947.0,,,,2217.0,,,,6676.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=111455849
유지,110968221,멸종위기사랑,이찬혁,가요 / 댄스,79.0,58.0,21.0,3086.0,3220.0,134.0,4.34,136358.0,145108.0,8750.0,6.42,931370.0,987605.0,56235.0,6.04,https://www.genie.co.kr/detail/songInfo?xgnm=110968221
유지,108805146,오늘만 I LOVE YOU,BOYNEXTDOOR,가요 / 댄스,60.0,44.0,16.0,23732.0,23754.0,22.0,0.09,813616.0,815227.0,1611.0,0.2,14408667.0,14461279.0,52612.0,0.37,https://www.genie.co.kr/detail/songInfo?xgnm=108805146
유지,109450165,HOT,LE SSERAFIM (르세라핌),가요 / 댄스,77.0,61.0,16.0,7067.0,7077.0,10.0,0.14,627262.0,628769.0,1507.0,0.24,8603699.0,8645455.0,41756.0,0.49,https://www.genie.co.kr/detail/songInfo?xgnm=109450165
유지,110589412,TAKEDOWN (JEONGYEON & JIHYO & CHAEYOUNG),TWICE (트와이스),POP / 팝,62.0,48.0,14.0,5435.0,5518.0,83.0,1.53,345439.0,351092.0,5653.0,1.64,2039393.0,2094274.0,54881.0,2.69,https://www.genie.co.kr/detail/songInfo?xgnm=110589412
유지,108981829,ATTITUDE,IVE (아이브),가요 / 댄스,56.0,43.0,13.0,13385.0,13413.0,28.0,0.21,873817.0,875483.0,1666.0,0.19,13975717.0,14028048.0,52331.0,0.37,https://www.genie.co.kr/detail/songInfo?xgnm=108981829
유지,105262751,첫 만남은 계획대로 되지 않아,TWS (투어스),가요 / 전체,66.0,54.0,12.0,33971.0,33996.0,25.0,0.07,1523786.0,1524906.0,1120.0,0.07,48874584.0,48922261.0,47677.0,0.1,https://www.genie.co.kr/detail/songInfo?xgnm=105262751
