분류,곡ID,곡명,아티스트,장르,어제순위,오늘순위,순위변동,어제좋아요,오늘좋아요,좋아요변동,좋아요변화율(%),어제전체청취자수,오늘전체청취자수,청취자수변동,청취자수변화율(%),어제전체재생수,오늘전체재생수,재생수변동,재생수변화율(%),URL
신규진입,87840106,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,OST / 드라마,,68.0,,,120876.0,,,,4832124.0,,,,215236982.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=87840106
신규진입,98304971,I Don't Think That I Like Her,Charlie Puth,POP / 팝,,88.0,,,52882.0,,,,2006269.0,,,,58857013.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=98304971
신규진입,102531243,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,가요 / 발라드,,89.0,,,21112.0,,,,1320019.0,,,,29239253.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=102531243
신규진입,102605425,사막에서 꽃을 피우듯,우디 (Woody),가요 / 발라드,,91.0,,,25198.0,,,,1472089.0,,,,36378463.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=102605425
신규진입,105872512,Magnetic,아일릿 (ILLIT),가요 / 댄스,,92.0,,,22736.0,,,,1374854.0,,,,38690826.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=105872512
신규진입,16176274,사랑의 바보,더 넛츠 (The NuTs),가요 / 락,,95.0,,,30180.0,,,,1600183.0,,,,30047010.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=16176274
신규진입,108040137,Mantra,제니 (JENNIE),가요 / 댄스,,96.0,,,13079.0,,,,1043372.0,,,,20239179.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=108040137
신규진입,96482850,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),가요 / 락,,97.0,,,62081.0,,,,2285880.0,,,,70920491.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=96482850
신규진입,110308614,네모의 꿈,아이유 (IU),가요 / 발라드,,98.0,,,7065.0,,,,526658.0,,,,4251727.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=110308614
신규진입,82280761,너의 모든 순간,성시경,OST / 드라마,,99.0,,,67347.0,,,,4105429.0,,,,112107906.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=82280761
차트이탈,111455849,CEREMONY,Stray Kids (스트레이 키즈),가요 / 랩/힙합,59.0,,,3241.0,,,,25311.0,,,,578405.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=111455849
차트이탈,110673874,LIKE YOU BETTER,프로미스나인,가요 / 댄스,83.0,,,5526.0,,,,286128.0,,,,2467366.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=110673874
차트이탈,93717294,Stay,The Kid LAROI & Justin Bieber,POP / 팝,86.0,,,72566.0,,,,2820074.0,,,,97142005.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=93717294
차트이탈,106001078,쏜살,김호중,가요 / 트로트,88.0,,,4648.0,,,,156827.0,,,,43734586.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=106001078
차트이탈,110665891,Lose My Mind (Feat. Doja Cat),Don Toliver,POP / 팝,90.0,,,2377.0,,,,82392.0,,,,933773.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=110665891
차트이탈,97122560,빛이 나는 사람,김호중,가요 / 발라드,92.0,,,12704.0,,,,547436.0,,,,99868286.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=97122560
차트이탈,106001079,별 헤는 밤,김호중,가요 / 블루스/포크,94.0,,,4442.0,,,,91060.0,,,,40923519.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=106001079
차트이탈,106001076,바람이 부는 날엔,김호중,가요 / 발라드,96.0,,,4528.0,,,,97061.0,,,,41155083.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=106001076
차트이탈,106001077,함께 가 줄래,김호중,가요 / 락,97.0,,,4703.0,,,,117029.0,,,,44416555.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=106001077
차트이탈,106001074,그대... 떠나도,김호중,가요 / 발라드,99.0,,,4723.0,,,,119951.0,,,,43816553.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=106001074
유지,109037899,미치게 그리워서,황가람,가요 / 인디,82.0,54.0,28.0,9924.0,9933.0,9.0,0.09,720149.0,721131.0,982.0,0.14,10564585.0,10593382.0,28797.0,0.27,https://www.genie.co.kr/detail/songInfo?xgnm=109037899
유지,101407645,헤어지자 말해요,박재정,가요 / 발라드,100.0,74.0,26.0,39124.0,39137.0,13.0,0.03,1854978.0,1855547.0,569.0,0.03,60657691.0,60681081.0,23390.0,0.04,https://www.genie.co.kr/detail/songInfo?xgnm=101407645
유지,105563654,천상연,이창섭,가요 / 발라드,51.0,29.0,22.0,27498.0,27528.0,30.0,0.11,1399595.0,1400496.0,901.0,0.06,38904641.0,38941838.0,37197.0,0.1,https://www.genie.co.kr/detail/songInfo?xgnm=105563654
유지,105980797,청혼하지 않을 이유를 못 찾았어,이무진,가요 / 발라드,87.0,65.0,22.0,14563.0,14575.0,12.0,0.08,1030789.0,1031560.0,771.0,0.07,20503197.0,20528142.0,24945.0,0.12,https://www.genie.co.kr/detail/songInfo?xgnm=105980797
유지,108107291,APT.,로제 (ROSÉ) & Bruno Mars,가요 / 락,43.0,23.0,20.0,41659.0,41677.0,18.0,0.04,1517026.0,1517718.0,692.0,0.05,45892433.0,45936581.0,44148.0,0.1,https://www.genie.co.kr/detail/songInfo?xgnm=108107291
유지,105262751,첫 만남은 계획대로 되지 않아,TWS (투어스),가요 / 전체,74.0,55.0,19.0,34067.0,34070.0,3.0,0.01,1527281.0,1527797.0,516.0,0.03,49033061.0,49059959.0,26898.0,0.05,https://www.genie.co.kr/detail/songInfo?xgnm=105262751
유지,96042335,사랑인가 봐,멜로망스 (MeloMance),OST / 드라마,93.0,75.0,18.0,51762.0,51780.0,18.0,0.03,2501148.0,2501656.0,508.0,0.02,85069792.0,85094749.0,24957.0,0.03,https://www.genie.co.kr/detail/songInfo?xgnm=96042335
유지,105757622,HAPPY,DAY6 (데이식스),가요 / 락,35.0,19.0,16.0,36764.0,36781.0,17.0,0.05,1481929.0,1482728.0,799.0,0.05,41595708.0,41642998.0,47290.0,0.11,https://www.genie.co.kr/detail/songInfo?xgnm=105757622
유지,110589417,Takedown,HUNTR/X & EJAE & Audrey Nuna & REI AMI & KPop Demon Hunters Cast,POP / 팝,32.0,17.0,15.0,9215.0,9281.0,66.0,0.72,472543.0,475380.0,2837.0,0.6,3646618.0,3696430.0,49812.0,1.37,https://www.genie.co.kr/detail/songInfo?xgnm=110589417
유지,108836768,REBEL HEART,IVE (아이브),가요 / 댄스,36.0,21.0,15.0,24491.0,24509.0,18.0,0.07,1142636.0,1143526.0,890.0,0.08,24582974.0,24630104.0,47130.0,0.19,https://www.genie.co.kr/detail/songInfo?xgnm=108836768
유지,109217637,TOO BAD (Feat. Anderson .Paak),G-DRAGON,가요 / 랩/힙합,39.0,24.0,15.0,22249.0,22267.0,18.0,0.08,1136492.0,1137324.0,832.0,0.07,22756562.0,22798470.0,41908.0,0.18,https://www.genie.co.kr/detail/songInfo?xgnm=109217637
유지,108005739,내게 사랑이 뭐냐고 물어본다면,로이킴,가요 / 발라드,42.0,27.0,15.0,20307.0,20329.0,22.0,0.11,1167674.0,1168654.0,980.0,0.08,25242502.0,25284563.0,42061.0,0.17,https://www.genie.co.kr/detail/songInfo?xgnm=108005739
유지,109179632,MY LOVE (2025),이예은 & 아샤트리 & 전건호,가요 / 발라드,52.0,37.0,15.0,9101.0,9125.0,24.0,0.26,657680.0,659047.0,1367.0,0.21,10180988.0,10220473.0,39485.0,0.39,https://www.genie.co.kr/detail/songInfo?xgnm=109179632
유지,86931930,예뻤어,DAY6 (데이식스),가요 / 락,56.0,41.0,15.0,81772.0,81781.0,9.0,0.01,2452062.0,2452632.0,570.0,0.02,85307788.0,85341153.0,33365.0,0.04,https://www.genie.co.kr/detail/songInfo?xgnm=86931930
유지,108110746,나는 반딧불,황가람,가요 / 인디,34.0,20.0,14.0,39750.0,39785.0,35.0,0.09,1348678.0,1349498.0,820.0,0.06,35693491.0,35745711.0,52220.0,0.15,https://www.genie.co.kr/detail/songInfo?xgnm=108110746
유지,89220627,한 페이지가 될 수 있게,DAY6 (데이식스),가요 / 락,40.0,26.0,14.0,75112.0,75129.0,17.0,0.02,2330991.0,2331628.0,637.0,0.03,74608243.0,74649294.0,41051.0,0.06,https://www.genie.co.kr/detail/songInfo?xgnm=89220627
유지,105757621,Welcome to the Show,DAY6 (데이식스),가요 / 락,45.0,31.0,14.0,34563.0,34579.0,16.0,0.05,1443666.0,1444312.0,646.0,0.04,40691258.0,40727308.0,36050.0,0.09,https://www.genie.co.kr/detail/songInfo?xgnm=105757621
유지,107855545,내 이름 맑음,QWER,가요 / 락,48.0,34.0,14.0,21905.0,21922.0,17.0,0.08,1188956.0,1189633.0,677.0,0.06,27575154.0,27609505.0,34351.0,0.12,https://www.genie.co.kr/detail/songInfo?xgnm=107855545
유지,110586309,여름이었다,H1-KEY (하이키),가요 / 댄스,53.0,39.0,14.0,4740.0,4770.0,30.0,0.63,351188.0,353622.0,2434.0,0.69,2729281.0,2764900.0,35619.0,1.31,https://www.genie.co.kr/detail/songInfo?xgnm=110586309
유지,106536223,Supernova,aespa,가요 / 댄스,54.0,40.0,14.0,29715.0,29723.0,8.0,0.03,1551309.0,1551954.0,645.0,0.04,51356107.0,51389641.0,33534.0,0.07,https://www.genie.co.kr/detail/songInfo?xgnm=106536223
유지,104919515,슬픈 초대장,순순희 (지환),가요 / 발라드,64.0,50.0,14.0,17808.0,17818.0,10.0,0.06,1128138.0,1128835.0,697.0,0.06,30420363.0,30449996.0,29633.0,0.1,https://www.genie.co.kr/detail/songInfo?xgnm=104919515
유지,110420530,눈물참기,QWER,가요 / 락,41.0,28.0,13.0,6962.0,6987.0,25.0,0.36,523692.0,525621.0,1929.0,0.37,5509268.0,5551374.0,42106.0,0.76,https://www.genie.co.kr/detail/songInfo?xgnm=110420530
유지,104821618,에피소드,이무진,가요 / 락,61.0,48.0,13.0,31584.0,31593.0,9.0,0.03,1521695.0,1522282.0,587.0,0.04,43672551.0,43703353.0,30802.0,0.07,https://www.genie.co.kr/detail/songInfo?xgnm=104821618
유지,108014478,UP (KARINA Solo),aespa,가요 / 댄스,75.0,62.0,13.0,16353.0,16360.0,7.0,0.04,1071043.0,1071679.0,636.0,0.06,22063307.0,22089445.0,26138.0,0.12,https://www.genie.co.kr/detail/songInfo?xgnm=108014478
유지,96424586,사건의 지평선,윤하 (YOUNHA),가요 / 락,80.0,67.0,13.0,68434.0,68442.0,8.0,0.01,2368541.0,2369039.0,498.0,0.02,88099922.0,88123968.0,24046.0,0.03,https://www.genie.co.kr/detail/songInfo?xgnm=96424586
유지,110589420,What It Sounds Like,HUNTR/X & EJAE & Audrey Nuna & REI AMI & KPop Demon Hunters Cast,POP / 팝,37.0,25.0,12.0,10219.0,10280.0,61.0,0.6,421674.0,424251.0,2577.0,0.61,3210914.0,3252642.0,41728.0,1.3,https://www.genie.co.kr/detail/songInfo?xgnm=110589420
유지,108805146,오늘만 I LOVE YOU,BOYNEXTDOOR,가요 / 댄스,57.0,45.0,12.0,23860.0,23882.0,22.0,0.09,818907.0,819713.0,806.0,0.1,14586087.0,14615168.0,29081.0,0.2,https://www.genie.co.kr/detail/songInfo?xgnm=108805146
유지,110589419,Free,Rumi & Jinu & EJAE & Andrew Choi & KPop Demon Hunters Cast,POP / 팝,44.0,33.0,11.0,8643.0,8692.0,49.0,0.57,400998.0,403570.0,2572.0,0.64,3035990.0,3075285.0,39295.0,1.29,https://www.genie.co.kr/detail/songInfo?xgnm=110589419
