순위,곡명,아티스트,앨범명,장르,재생시간,작사가,작곡가,편곡자,좋아요,전체 청취자수,전체 재생수,상세URL,곡ID
1,Golden,HUNTR/X & EJAE & Audrey Nuna & REI AMI & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,03:15,"EJAE,Mark Sonnenblick","IDO,24,TEDDY,EJAE,Mark Sonnenblick","IDO,24,TEDDY,Ian Eisendrath",35735,998849,16536376,https://www.genie.co.kr/detail/songInfo?xgnm=110589415,110589415
2,Soda Pop,Saja Boys & Andrew Choi & Neckwav & Danny Chung & Kevin Woo & samUIL Lee & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,02:31,"Vince,KUSH,Danny Chung","24,DOMINSUK,Vince,KUSH","24,DOMINSUK,Ian Eisendrath",23114,809809,10608171,https://www.genie.co.kr/detail/songInfo?xgnm=110589414,110589414
3,뛰어(JUMP),BLACKPINK,뛰어(JUMP),가요 / 댄스,02:45,"TEDDY,Zikai,Claudia Valentina,Jumpa,Malachiii,Jesse Bluu","TEDDY,Diplo,24,Zikai,Claudia Valentina,Jumpa,Malachiii,Jesse Bluu","Diplo,24,Boaz van de Beatz,Zecca,Ape Drums",11831,729596,8522317,https://www.genie.co.kr/detail/songInfo?xgnm=110931419,110931419
4,FAMOUS,ALLDAY PROJECT,FAMOUS,가요 / 댄스,03:00,"TARZZAN,WOOCHAN,YOUNGSEO,TEDDY,Vince,Claudia Valentina,Zikai,Norib","Jumpa,Claudia Valentina,Zikai,Norib,Dominsuk,Vince","Jumpa,24,Dominsuk,Vince",13771,725704,9989666,https://www.genie.co.kr/detail/songInfo?xgnm=110552022,110552022
5,Drowning,WOODZ,OO-LI,가요 / 락,04:05,WOODZ,"WOODZ,네이슨 (NATHAN),Hoho","네이슨 (NATHAN),Hoho",45408,1370240,39453344,https://www.genie.co.kr/detail/songInfo?xgnm=101514417,101514417
6,시작의 아이,마크툽 (Maktub),시작의 아이 ハジマリのコ (Starting With You),가요 / 인디,04:17,MAKTUB,MAKTUB,MAKTUB,16455,923996,16057576,https://www.genie.co.kr/detail/songInfo?xgnm=108746466,108746466
7,Your Idol,Saja Boys & Andrew Choi & Neckwav & Danny Chung & Kevin Woo & samUIL Lee & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,03:12,"EJAE,Mark Sonnenblick","24,IDO,KUSH,Vince","24,IDO,Ian Eisendrath",14283,606548,6289377,https://www.genie.co.kr/detail/songInfo?xgnm=110589418,110589418
8,너에게 닿기를,10CM,너에게 닿기를,가요 / 락,02:39,Tomofumi Tanizawa,Tomofumi Tanizawa,"10CM,이요한,성수용,이윤혁,방인재",23344,1032323,17736242,https://www.genie.co.kr/detail/songInfo?xgnm=109330096,109330096
9,How It's Done,HUNTR/X & EJAE & Audrey Nuna & REI AMI & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,02:56,"EJAE,Mark Sonnenblick,Danny Chung","24,IDO,TEDDY,EJAE,Mark Sonnenblick","24,IDO,TEDDY,Ian Eisendrath",11869,542615,4806132,https://www.genie.co.kr/detail/songInfo?xgnm=110589413,110589413
10,모르시나요 (Prod. by 로코베리),조째즈,모르시나요,가요 / 발라드,05:02,"베리 (Rocoberry),K-Smith",베리 (Rocoberry),이유진,25387,1134464,24583053,https://www.genie.co.kr/detail/songInfo?xgnm=108805752,108805752
11,Whiplash,aespa,Whiplash - The 5th Mini Album,가요 / 댄스,03:03,Leslie (XYXX),"Marcus Lomax,Neil Ormandy,Rosina 'Soaky Siren' Russell,Lewis Jankel","Lewis Jankel,Neil Ormandy",27680,1351888,39885128,https://www.genie.co.kr/detail/songInfo?xgnm=108110514,108110514
