순위,곡명,아티스트,앨범명,장르,재생시간,작사가,작곡가,편곡자,좋아요,전체 청취자수,전체 재생수,상세URL,곡ID
1,Golden,HUNTR/X & EJAE & Audrey Nuna & REI AMI & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,03:15,"EJAE,Mark Sonnenblick","IDO,24,TEDDY,EJAE,Mark Sonnenblick","IDO,24,TEDDY,Ian Eisendrath",37081,1023536,17546954,https://www.genie.co.kr/detail/songInfo?xgnm=110589415,110589415
2,Soda Pop,Saja Boys & Andrew Choi & Neckwav & Danny Chung & Kevin Woo & samUIL Lee & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,02:31,"Vince,KUSH,Danny Chung","24,DOMINSUK,Vince,KUSH","24,DOMINSUK,Ian Eisendrath",24025,832458,11310737,https://www.genie.co.kr/detail/songInfo?xgnm=110589414,110589414
3,뛰어(JUMP),BLACKPINK,뛰어(JUMP),가요 / 댄스,02:45,"TEDDY,Zikai,Claudia Valentina,Jumpa,Malachiii,Jesse Bluu","TEDDY,Diplo,24,Zikai,Claudia Valentina,Jumpa,Malachiii,Jesse Bluu","Diplo,24,Boaz van de Beatz,Zecca,Ape Drums",12448,752905,9101288,https://www.genie.co.kr/detail/songInfo?xgnm=110931419,110931419
4,FAMOUS,ALLDAY PROJECT,FAMOUS,가요 / 댄스,03:00,"TARZZAN,WOOCHAN,YOUNGSEO,TEDDY,Vince,Claudia Valentina,Zikai,Norib","Jumpa,Claudia Valentina,Zikai,Norib,Dominsuk,Vince","Jumpa,24,Dominsuk,Vince",14225,742365,10449581,https://www.genie.co.kr/detail/songInfo?xgnm=110552022,110552022
5,Drowning,WOODZ,OO-LI,가요 / 락,04:05,WOODZ,"WOODZ,네이슨 (NATHAN),Hoho","네이슨 (NATHAN),Hoho",45677,1376421,39861825,https://www.genie.co.kr/detail/songInfo?xgnm=101514417,101514417
6,Your Idol,Saja Boys & Andrew Choi & Neckwav & Danny Chung & Kevin Woo & samUIL Lee & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,03:12,"EJAE,Mark Sonnenblick","24,IDO,KUSH,Vince","24,IDO,Ian Eisendrath",14891,625452,6695312,https://www.genie.co.kr/detail/songInfo?xgnm=110589418,110589418
7,시작의 아이,마크툽 (Maktub),시작의 아이 ハジマリのコ (Starting With You),가요 / 인디,04:17,MAKTUB,MAKTUB,MAKTUB,16769,934528,16426182,https://www.genie.co.kr/detail/songInfo?xgnm=108746466,108746466
8,How It's Done,HUNTR/X & EJAE & Audrey Nuna & REI AMI & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),POP / 팝,02:56,"EJAE,Mark Sonnenblick,Danny Chung","24,IDO,TEDDY,EJAE,Mark Sonnenblick","24,IDO,TEDDY,Ian Eisendrath",12401,561271,5145831,https://www.genie.co.kr/detail/songInfo?xgnm=110589413,110589413
9,너에게 닿기를,10CM,너에게 닿기를,가요 / 락,02:39,Tomofumi Tanizawa,Tomofumi Tanizawa,"10CM,이요한,성수용,이윤혁,방인재",23514,1039797,18041725,https://www.genie.co.kr/detail/songInfo?xgnm=109330096,109330096
10,모르시나요 (Prod. by 로코베리),조째즈,모르시나요,가요 / 발라드,05:02,"베리 (Rocoberry),K-Smith",베리 (Rocoberry),이유진,25561,1140811,24868068,https://www.genie.co.kr/detail/songInfo?xgnm=108805752,108805752
