분류,곡ID,곡명,아티스트,장르,어제순위,오늘순위,순위변동,어제좋아요,오늘좋아요,좋아요변동,좋아요변화율(%),어제전체청취자수,오늘전체청취자수,청취자수변동,청취자수변화율(%),어제전체재생수,오늘전체재생수,재생수변동,재생수변화율(%),URL
신규진입,106297207,해야 (HEYA),IVE (아이브),가요 / 댄스,,89.0,,,20129.0,,,,1305867.0,,,,31974695.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=106297207
신규진입,106290214,SPOT! (Feat. JENNIE),지코 (ZICO),가요 / 랩/힙합,,98.0,,,22461.0,,,,1359978.0,,,,32272389.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=106290214
신규진입,88357385,Older,Sasha Alex Sloan,POP / 팝,,99.0,,,25320.0,,,,965529.0,,,,13974012.0,,,https://www.genie.co.kr/detail/songInfo?xgnm=88357385
차트이탈,81397683,어땠을까 (Feat. 박정현),싸이 (Psy),가요 / 댄스,93.0,,,34587.0,,,,2230904.0,,,,41191504.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=81397683
차트이탈,110673874,LIKE YOU BETTER,프로미스나인,가요 / 댄스,94.0,,,5483.0,,,,281384.0,,,,2400660.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=110673874
차트이탈,96482850,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),가요 / 락,96.0,,,62039.0,,,,2284255.0,,,,70841898.0,,,,https://www.genie.co.kr/detail/songInfo?xgnm=96482850
유지,105293063,Love wins all,아이유 (IU),가요 / 발라드,76.0,65.0,11.0,35232.0,35256.0,24.0,0.07,1583389.0,1584051.0,662.0,0.04,41536454.0,41566037.0,29583.0,0.07,https://www.genie.co.kr/detail/songInfo?xgnm=105293063
유지,89382909,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),가요 / 발라드,66.0,58.0,8.0,115415.0,115437.0,22.0,0.02,4033252.0,4034039.0,787.0,0.02,151791625.0,151824751.0,33126.0,0.02,https://www.genie.co.kr/detail/songInfo?xgnm=89382909
유지,104055957,소나기,이클립스 (ECLIPSE),OST / 드라마,50.0,43.0,7.0,33068.0,33093.0,25.0,0.08,1384775.0,1385629.0,854.0,0.06,40588077.0,40626671.0,38594.0,0.1,https://www.genie.co.kr/detail/songInfo?xgnm=104055957
유지,105262751,첫 만남은 계획대로 되지 않아,TWS (투어스),가요 / 전체,56.0,50.0,6.0,34034.0,34043.0,9.0,0.03,1525741.0,1526408.0,667.0,0.04,48954233.0,48986236.0,32003.0,0.07,https://www.genie.co.kr/detail/songInfo?xgnm=105262751
유지,104919515,슬픈 초대장,순순희 (지환),가요 / 발라드,59.0,53.0,6.0,17770.0,17782.0,12.0,0.07,1126140.0,1127001.0,861.0,0.08,30334758.0,30369454.0,34696.0,0.11,https://www.genie.co.kr/detail/songInfo?xgnm=104919515
유지,94124212,가까운 듯 먼 그대여,카더가든,가요 / 발라드,68.0,62.0,6.0,23783.0,23821.0,38.0,0.16,1112102.0,1113433.0,1331.0,0.12,19596636.0,19629593.0,32957.0,0.17,https://www.genie.co.kr/detail/songInfo?xgnm=94124212
유지,111134057,운명 (2025),먼데이 키즈 & 이이경,가요 / 전체,39.0,34.0,5.0,2990.0,3033.0,43.0,1.44,258990.0,264141.0,5151.0,1.99,1736036.0,1788233.0,52197.0,3.01,https://www.genie.co.kr/detail/songInfo?xgnm=111134057
유지,90077755,이제 나만 믿어요,임영웅,가요 / 트로트,40.0,35.0,5.0,66578.0,66596.0,18.0,0.03,3048985.0,3049480.0,495.0,0.02,368510881.0,368605841.0,94960.0,0.03,https://www.genie.co.kr/detail/songInfo?xgnm=90077755
유지,101268096,I AM,IVE (아이브),가요 / 댄스,65.0,60.0,5.0,46719.0,46733.0,14.0,0.03,1994829.0,1995586.0,757.0,0.04,78891534.0,78923434.0,31900.0,0.04,https://www.genie.co.kr/detail/songInfo?xgnm=101268096
유지,106955582,Small girl (Feat. 도경수 (D.O.)),이영지,가요 / 랩/힙합,82.0,77.0,5.0,26954.0,26969.0,15.0,0.06,1298046.0,1298700.0,654.0,0.05,28415348.0,28442357.0,27009.0,0.1,https://www.genie.co.kr/detail/songInfo?xgnm=106955582
유지,110308614,네모의 꿈,아이유 (IU),가요 / 발라드,98.0,93.0,5.0,6998.0,7023.0,25.0,0.36,522556.0,523850.0,1294.0,0.25,4168204.0,4193277.0,25073.0,0.6,https://www.genie.co.kr/detail/songInfo?xgnm=110308614
유지,108107291,APT.,로제 (ROSÉ) & Bruno Mars,가요 / 락,23.0,19.0,4.0,41601.0,41627.0,26.0,0.06,1514903.0,1515802.0,899.0,0.06,45759896.0,45815243.0,55347.0,0.12,https://www.genie.co.kr/detail/songInfo?xgnm=108107291
유지,103024121,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),가요 / 발라드,79.0,75.0,4.0,29028.0,29046.0,18.0,0.06,1385808.0,1386481.0,673.0,0.05,33680427.0,33710079.0,29652.0,0.09,https://www.genie.co.kr/detail/songInfo?xgnm=103024121
유지,109450165,HOT,LE SSERAFIM (르세라핌),가요 / 댄스,86.0,82.0,4.0,7091.0,7112.0,21.0,0.3,629850.0,630850.0,1000.0,0.16,8671549.0,8699618.0,28069.0,0.32,https://www.genie.co.kr/detail/songInfo?xgnm=109450165
유지,97582507,Hype Boy,NewJeans,가요 / 댄스,87.0,83.0,4.0,54736.0,54741.0,5.0,0.01,2407538.0,2408072.0,534.0,0.02,102708136.0,102733601.0,25465.0,0.02,https://www.genie.co.kr/detail/songInfo?xgnm=97582507
유지,102531243,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,가요 / 발라드,89.0,85.0,4.0,21079.0,21093.0,14.0,0.07,1317531.0,1318338.0,807.0,0.06,29150487.0,29176825.0,26338.0,0.09,https://www.genie.co.kr/detail/songInfo?xgnm=102531243
유지,110452518,Dirty Work,aespa,가요 / 댄스,15.0,12.0,3.0,8131.0,8161.0,30.0,0.37,639853.0,642847.0,2994.0,0.47,7082300.0,7154653.0,72353.0,1.02,https://www.genie.co.kr/detail/songInfo?xgnm=110452518
유지,94535712,사랑은 늘 도망가,임영웅,OST / 드라마,29.0,26.0,3.0,68301.0,68322.0,21.0,0.03,2611811.0,2612413.0,602.0,0.02,268438563.0,268540047.0,101484.0,0.04,https://www.genie.co.kr/detail/songInfo?xgnm=94535712
유지,110586309,여름이었다,H1-KEY (하이키),가요 / 댄스,41.0,38.0,3.0,4650.0,4690.0,40.0,0.86,343275.0,346786.0,3511.0,1.02,2621908.0,2665986.0,44078.0,1.68,https://www.genie.co.kr/detail/songInfo?xgnm=110586309
유지,108575614,toxic till the end,로제 (ROSÉ),가요 / 락,49.0,46.0,3.0,19459.0,19491.0,32.0,0.16,997986.0,998932.0,946.0,0.09,19577712.0,19618285.0,40573.0,0.21,https://www.genie.co.kr/detail/songInfo?xgnm=108575614
유지,105260468,나는 아픈 건 딱 질색이니까,i-dle (아이들),가요 / 댄스,52.0,49.0,3.0,35508.0,35514.0,6.0,0.02,1579982.0,1580709.0,727.0,0.05,50366958.0,50401397.0,34439.0,0.07,https://www.genie.co.kr/detail/songInfo?xgnm=105260468
유지,82280761,너의 모든 순간,성시경,OST / 드라마,99.0,96.0,3.0,67304.0,67320.0,16.0,0.02,4103539.0,4104142.0,603.0,0.01,112023178.0,112048390.0,25212.0,0.02,https://www.genie.co.kr/detail/songInfo?xgnm=82280761
유지,110649475,WICKED,ALLDAY PROJECT,가요 / 랩/힙합,25.0,23.0,2.0,5489.0,5540.0,51.0,0.93,452652.0,456110.0,3458.0,0.76,4442110.0,4503297.0,61187.0,1.38,https://www.genie.co.kr/detail/songInfo?xgnm=110649475
유지,106536223,Supernova,aespa,가요 / 댄스,42.0,40.0,2.0,29671.0,29692.0,21.0,0.07,1549299.0,1550104.0,805.0,0.05,51257537.0,51297333.0,39796.0,0.08,https://www.genie.co.kr/detail/songInfo?xgnm=106536223
유지,96549502,우리들의 블루스,임영웅,가요 / 발라드,43.0,41.0,2.0,38621.0,38641.0,20.0,0.05,1816540.0,1816992.0,452.0,0.02,189977539.0,190071058.0,93519.0,0.05,https://www.genie.co.kr/detail/songInfo?xgnm=96549502
유지,101514417,Drowning,WOODZ,가요 / 락,6.0,5.0,1.0,45609.0,45677.0,68.0,0.15,1374664.0,1376421.0,1757.0,0.13,39743957.0,39861825.0,117868.0,0.3,https://www.genie.co.kr/detail/songInfo?xgnm=101514417
유지,108746466,시작의 아이,마크툽 (Maktub),가요 / 인디,8.0,7.0,1.0,16688.0,16769.0,81.0,0.49,931823.0,934528.0,2705.0,0.29,16320584.0,16426182.0,105598.0,0.65,https://www.genie.co.kr/detail/songInfo?xgnm=108746466
유지,108110514,Whiplash,aespa,가요 / 댄스,12.0,11.0,1.0,27764.0,27799.0,35.0,0.13,1355381.0,1356606.0,1225.0,0.09,40072636.0,40146957.0,74321.0,0.19,https://www.genie.co.kr/detail/songInfo?xgnm=108110514
유지,108434388,HOME SWEET HOME (Feat. 태양 & 대성),G-DRAGON,가요 / 랩/힙합,17.0,16.0,1.0,36886.0,36904.0,18.0,0.05,1343322.0,1344371.0,1049.0,0.08,37346447.0,37407718.0,61271.0,0.16,https://www.genie.co.kr/detail/songInfo?xgnm=108434388
유지,111280752,시작의 아이 ❍,박다혜 & 마크툽 (Maktub),가요 / 인디,18.0,17.0,1.0,4731.0,4834.0,103.0,2.18,244915.0,253245.0,8330.0,3.4,1488987.0,1571208.0,82221.0,5.52,https://www.genie.co.kr/detail/songInfo?xgnm=111280752
유지,109608007,어제보다 슬픈 오늘,우디 (Woody),가요 / 발라드,19.0,18.0,1.0,11411.0,11473.0,62.0,0.54,718871.0,721238.0,2367.0,0.33,10253930.0,10321364.0,67434.0,0.66,https://www.genie.co.kr/detail/songInfo?xgnm=109608007
유지,89220627,한 페이지가 될 수 있게,DAY6 (데이식스),가요 / 락,26.0,25.0,1.0,75055.0,75083.0,28.0,0.04,2328987.0,2329854.0,867.0,0.04,74486635.0,74536730.0,50095.0,0.07,https://www.genie.co.kr/detail/songInfo?xgnm=89220627
유지,108005739,내게 사랑이 뭐냐고 물어본다면,로이킴,가요 / 발라드,28.0,27.0,1.0,20229.0,20263.0,34.0,0.17,1164807.0,1166027.0,1220.0,0.1,25121653.0,25171661.0,50008.0,0.2,https://www.genie.co.kr/detail/songInfo?xgnm=108005739
유지,110420530,눈물참기,QWER,가요 / 락,30.0,29.0,1.0,6867.0,6897.0,30.0,0.44,517982.0,520409.0,2427.0,0.47,5384100.0,5435158.0,51058.0,0.95,https://www.genie.co.kr/detail/songInfo?xgnm=110420530
유지,110308610,Never Ending Story,아이유 (IU),가요 / 발라드,33.0,32.0,1.0,10815.0,10835.0,20.0,0.18,760354.0,762305.0,1951.0,0.26,7374213.0,7419101.0,44888.0,0.61,https://www.genie.co.kr/detail/songInfo?xgnm=110308610
유지,108221081,PO￦ER,G-DRAGON,가요 / 랩/힙합,72.0,71.0,1.0,22357.0,22365.0,8.0,0.04,1171441.0,1172145.0,704.0,0.06,24206642.0,24236076.0,29434.0,0.12,https://www.genie.co.kr/detail/songInfo?xgnm=108221081
유지,104553679,비의 랩소디,임재현,가요 / 발라드,75.0,74.0,1.0,25282.0,25297.0,15.0,0.06,1512750.0,1513349.0,599.0,0.04,43043091.0,43073290.0,30199.0,0.07,https://www.genie.co.kr/detail/songInfo?xgnm=104553679
유지,88686378,주저하는 연인들을 위해,잔나비,가요 / 인디,80.0,79.0,1.0,105125.0,105144.0,19.0,0.02,4070439.0,4071036.0,597.0,0.01,138189380.0,138217608.0,28228.0,0.02,https://www.genie.co.kr/detail/songInfo?xgnm=88686378
유지,93336453,다정히 내 이름을 부르면,경서예지 & 전건호,가요 / 발라드,81.0,80.0,1.0,59887.0,59895.0,8.0,0.01,2587851.0,2588338.0,487.0,0.02,104746049.0,104772951.0,26902.0,0.03,https://www.genie.co.kr/detail/songInfo?xgnm=93336453
유지,16108183,벌써 일년,브라운 아이즈,가요 / 발라드,92.0,91.0,1.0,35108.0,35121.0,13.0,0.04,2563227.0,2564026.0,799.0,0.03,45821227.0,45846575.0,25348.0,0.06,https://www.genie.co.kr/detail/songInfo?xgnm=16108183
유지,100522029,심 (心),DK (디셈버),가요 / 락,95.0,94.0,1.0,25164.0,25167.0,3.0,0.01,1636991.0,1637549.0,558.0,0.03,47977892.0,48003993.0,26101.0,0.05,https://www.genie.co.kr/detail/songInfo?xgnm=100522029
유지,110589415,Golden,HUNTR/X & EJAE & Audrey Nuna & REI AMI & KPop Demon Hunters Cast,POP / 팝,1.0,1.0,0.0,36801.0,37081.0,280.0,0.76,1017294.0,1023536.0,6242.0,0.61,17274454.0,17546954.0,272500.0,1.58,https://www.genie.co.kr/detail/songInfo?xgnm=110589415
유지,110589414,Soda Pop,Saja Boys & Andrew Choi & Neckwav & Danny Chung & Kevin Woo & samUIL Lee & KPop Demon Hunters Cast,POP / 팝,2.0,2.0,0.0,23828.0,24025.0,197.0,0.83,827015.0,832458.0,5443.0,0.66,11127862.0,11310737.0,182875.0,1.64,https://www.genie.co.kr/detail/songInfo?xgnm=110589414
유지,110931419,뛰어(JUMP),BLACKPINK,가요 / 댄스,3.0,3.0,0.0,12282.0,12448.0,166.0,1.35,746990.0,752905.0,5915.0,0.79,8936461.0,9101288.0,164827.0,1.84,https://www.genie.co.kr/detail/songInfo?xgnm=110931419
유지,110552022,FAMOUS,ALLDAY PROJECT,가요 / 댄스,4.0,4.0,0.0,14122.0,14225.0,103.0,0.73,738206.0,742365.0,4159.0,0.56,10319116.0,10449581.0,130465.0,1.26,https://www.genie.co.kr/detail/songInfo?xgnm=110552022
유지,109330096,너에게 닿기를,10CM,가요 / 락,9.0,9.0,0.0,23482.0,23514.0,32.0,0.14,1037858.0,1039797.0,1939.0,0.19,17955813.0,18041725.0,85912.0,0.48,https://www.genie.co.kr/detail/songInfo?xgnm=109330096
유지,108805752,모르시나요 (Prod. by 로코베리),조째즈,가요 / 발라드,10.0,10.0,0.0,25515.0,25561.0,46.0,0.18,1139101.0,1140811.0,1710.0,0.15,24786241.0,24868068.0,81827.0,0.33,https://www.genie.co.kr/detail/songInfo?xgnm=108805752
유지,107985564,청춘만화,이무진,가요 / 락,13.0,13.0,0.0,20239.0,20278.0,39.0,0.19,1094337.0,1096064.0,1727.0,0.16,20430558.0,20499699.0,69141.0,0.34,https://www.genie.co.kr/detail/songInfo?xgnm=107985564
유지,109342665,like JENNIE,제니 (JENNIE),가요 / 댄스,14.0,14.0,0.0,16247.0,16270.0,23.0,0.14,1014595.0,1016235.0,1640.0,0.16,19543955.0,19611725.0,67770.0,0.35,https://www.genie.co.kr/detail/songInfo?xgnm=109342665
유지,108110746,나는 반딧불,황가람,가요 / 인디,20.0,20.0,0.0,39679.0,39706.0,27.0,0.07,1346019.0,1347142.0,1123.0,0.08,35544432.0,35606526.0,62094.0,0.17,https://www.genie.co.kr/detail/songInfo?xgnm=108110746
유지,105757622,HAPPY,DAY6 (데이식스),가요 / 락,21.0,21.0,0.0,36696.0,36723.0,27.0,0.07,1479372.0,1480490.0,1118.0,0.08,41455483.0,41513414.0,57931.0,0.14,https://www.genie.co.kr/detail/songInfo?xgnm=105757622
유지,108836768,REBEL HEART,IVE (아이브),가요 / 댄스,22.0,22.0,0.0,24416.0,24438.0,22.0,0.09,1139791.0,1140990.0,1199.0,0.11,24445250.0,24501828.0,56578.0,0.23,https://www.genie.co.kr/detail/songInfo?xgnm=108836768
유지,107520166,Die With A Smile,Lady Gaga & Bruno Mars,POP / 팝,31.0,31.0,0.0,22090.0,22135.0,45.0,0.2,933444.0,934953.0,1509.0,0.16,14282272.0,14328370.0,46098.0,0.32,https://www.genie.co.kr/detail/songInfo?xgnm=107520166
유지,104821618,에피소드,이무진,가요 / 락,47.0,47.0,0.0,31553.0,31568.0,15.0,0.05,1519973.0,1520691.0,718.0,0.05,43582890.0,43619567.0,36677.0,0.08,https://www.genie.co.kr/detail/songInfo?xgnm=104821618
